Company
LinkedIn
Capgemini
Reply
OneTrust
Amazon
PayPal
VENTIE30
Red Hat
IBM
DataSmart Italia
BlackRock
Oracle
Microsoft
Uber
Cisco
Stack Overflow
Accenture Italia
myInvenio
Robomagister
EY
IBM Institute for Business Value
Salesforce
Amazon Web Services (AWS)
Apple
E80 Group
Tesla
Google
IBM Alumni
