Company
LinkedIn
Capgemini
Reply
OneTrust
Amazon
PayPal
VENTIE30
Red Hat
IBM
DataSmart Italia
BlackRock
Oracle
Microsoft
Uber
Cisco
Stack Overflow
Accenture Italia
myInvenio
Robomagister
EY
IBM Institute for Business Value
Salesforce
Amazon Web Services (AWS)
Apple
E80 Group
Tesla
Google
IBM Alumni
Spotify
Satispay
Netflix
HubSpot
GitHub
GitLab
Elastic
Sopra Steria
Canonical
Binance
JetBrains
Moneyfarm
expert.ai
Webranking
AFS Intercultural Programs USA
Micronaut Framework
"Docker, Inc"
Nas Daily
Engineering Group
PTC
WeRoad
Postman
Learnk8s
Dropbox
Mistral AI
Datalogic
Ammagamma
Ivy
PTV Logistics
Antler
Bending Spoons
